name,address,website,contain_keyword,phone_number,reviews_count,reviews_average
Aditya Tangguh Perkasa,,,,(021) 82752239,,
Sinar Mas Textile | Kain Bordir,"Tanah abang blok A Lantai B1 Los F no.23, Kp. Bali, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250",,,0813-8016-6266,47,5.0
Cakra Studio,"Office Park A12, Thamrin Residence, Jalan Thamrin Boulevard, RT.2/RW.8, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",,No,0878-8490-6999,4,5.0
"Royal Korindah, Jakarta","Jl. Penjernihan 1 No.9 9, RT.9/RW.6, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",,No,(021) 57906630,30,4.7
Toko Tri Jaya,"K. H. No. Tanah Abang,, Jl. K.H. Mas Mansyur No.40, RT.1/RW.7, Kebon Kacang, Tanah Abang, DKI Jakarta, Jakarta 10240",,,(021) 3907370,6,4.7
BENEMICA,"Sahid Sudirman Center, 23rd Floor, Jl. Jenderal Sudirman Kav. 86, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220",,,0859-2168-6588,11,5.0
NTT DATA Indonesia ( NTT データインドネシア ),"Wisma 46 - Kota BNI, Jl. Jenderal Sudirman No.Kav. 1 Lantai 9, RT.10/RW.11, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220",nttdata.com,Yes,(021) 5746060,47,4.8
"Madanitex, Jual Kain Bahan Import","Jl. Kb. Jati. Pasar Regional Tanah Abang Blok F1 Lantai 2, No.15, Kb. Kacang, Kecamatan Tanah Abang, Daerah Khusus Ibukota Jakarta 10240",,No,0812-9102-8681,32,4.7
Sawunk coffee,"4, Jl. Petamburan VI No.9 8, RT.4/RW.6, Petamburan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10260",,,0895-3208-48950,,
Dicoprint Pejompongan,"Jl. Pejompongan Raya No.16 3, RT.3/RW.6, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",,,(021) 57906138,7,4.6
Grosirbersama.co.id,"Pasar Tanah Abang Blok B Lantai 3A Los H, No. 43-46, Jl. Kh. Mas Mansyur, Kp. Bali, Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta, RT.1/RW.5, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250",,,0812-9742-5736,6,3.3
CROWNMAS tanah abang,"A Jl. K.H. Mas Mansyur No.1, Kb. Melati, Kecamatan Tanah Abang, DKI Jakarta, Daerah Khusus Ibukota Jakarta 10240",,No,0815-1981-1110,14,4.9
Neighbour Food Jakarta,,,,0812-1009-5453,,
PT Odisys Indonesia,"GP PLAZA, Gelora 2 No.1 3rd Floor - Unit 8, RT.1/RW.1, Gelora, Tanah Abang, Central Jakarta City, Jakarta 10270",odisys.id,Yes,(021) 37344801,1,5.0
MelbaLiving,"Jl. Gatot Subroto No.53, RT.10/RW.6, Petamburan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10260",,,0815-8670-0350,5,4.8
PAM Jaya,"Jl. Bendungan Hilir No.104 13, RT.13/RW.1, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",,No,(021) 5704250,39,1.7
Ferry textile Blok A tanah abang Lt B2,"Blok A, Kp. Bali, Kecamatan Tanah Abang, Jakarta, Daerah Khusus Ibukota Jakarta 10250",,,0812-9614-1594,2,4.5
"LTEX Toko Bahan Jeans, Denim & Katun","Jl H Fachrudin 36, Auri Tanah Abang Blok B.10, Kampung Bali, Central Jakarta City, Jakarta 10250",,,0878-2003-0094,3,5.0
Es Kristal Benhil,"QRP7+5R4, Jalan Gang V, RT.4/RW.1, Bendungan Hilir, Tanah Abang, Central Jakarta City, Jakarta 10210",,,0812-4928-6919,15,3.1
Konveksi H. Heri,"Jl. Petamburan VII No.19, RT.8/RW.6, Petamburan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10260",,,,,
Seacon Logistik. PT (Head Office),"Sahid Sudirman Centre, Jl. Jenderal Sudirman No.86 56th Floor, Karet Tengsin, Kecamatan Tanah Abang, JAKARTA, Daerah Khusus Ibukota Jakarta 10220",,No,0859-3561-9888,39,4.6
UD. Prima,"No. 9 RT 02/05, Jl. Pejompongan Raya, RT.2/RW.6, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",,,(021) 68714917,1,5.0
Bogowonto Primalaras,"Jl. Gatot Subroto No.Kav. 53, RT.10/RW.6, Petamburan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250",,,(021) 5720561,,
Shooper- Save Money at the Supermarkets,"Menara Batavia, Menara Batavia, 2nd Flr, CECT Trisakti, Jl. K.H. Mas Mansyur, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220",,,(021) 57930117,2,5.0
KRJ - Kharisma Rimba Jaya,,,No,0812-2255-6548,,
Riau Andalan Pulp & Paper,"Asian Agri (Kebon Melati), Jl M.H.Thamrin (d/h, Jl. Teluk Betung No.31, RT.4/RW.1, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",aprilasia.com,Yes,(021) 31930134,20,4.2
snbworkshop konveksi sablon bordir jakarta,"Jl. H. Fachrudin.78 Pasar Tanah Abang blok b Lantai 3 los E No.150, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10260",,,0857-1508-0910,24,4.8
PT. Ceria Utama Abadi (CUA),"Jl. D. Jempang No.BII No.12-13 6, RT.6/RW.4, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",,No,(021) 5720343,21,4.9
Putra Sentosa Tanah Abang,"Jl. H. Fachrudin Ruko Ex-Auri No.36 Blok BB no.3, Kp. Bali, Tanah Abang Bukit, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250",,,0819-1199-9883,,
