name,address,website,contain_keyword,phone_number,reviews_count,reviews_average
Laundry H Tamin,"Gg. H.Murtadho VII No.13, RT.19/RW.6, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,0813-1012-7545,,
PT INDUSTRI KAPAL INDONESIA (PERSERO) - PERWAKILAN JAKARTA,"Jl. Senen Raya, Atrium, Blok.C, No.12A, RW.2, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410",,,,2,5.0
PT Sigma Artha Buana (Masker Zeron),"Jl. Salemba Tengah No.14 C, RT.1/RW.3, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,0818-909-597,4,5.0
Trophy Jakarta Senen,"Pasar Senen Blok 3 Lt. 1 BKS 079, Daerah Khusus Ibukota Jakarta 10410",,No,0812-9870-1600,2,5.0
Tricinema Printing,,,,0821-1426-0416,,
Aoyama Service,"Salemba Tengah Gg. VIII No.256-C, RT.1/RW.3, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,(021) 3919312,4,1.0
Rantai,"Vinilon Building, Jl. Raden Saleh Raya No.kav 13-17 1, RT.1/RW.2, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",,,0811-1658-855,1,5.0
Lentera Khatulistiwa Indonesia,"Jl. Raden Saleh Raya No.53 2, RT.2/RW.2, Kenari, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",,,0812-8813-7537,1,5.0
sri rejeki,"Jl. Paseban Timur Gg. 2 No.54 9, RT.9/RW.3, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,(021) 31906089,1,5.0
Alika. CV,"Jl. Pramuka No.55, RT.4/RW.5, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",,,(021) 3146290,3,2.3
Fiberqu Spesialist Production,,,No,0813-1523-2707,,
PT. Celebes Analitik Energi,"Jl. Pramuka No.7, Palmeriam, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13140",cenagi.com,Yes,0817-107-786,,
Sentra Dimsum Indonesia Jakarta,"Salemba Tengah Gg. VIII No.187, RT.4/RW.4, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,0831-1555-9860,,
Permata Solution,"Sentra Salemba Mas, Jl. Salemba Raya No.34-36 Blok P, Lantai 3, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",,,0813-1042-1142,,
NaRational Corp,,,,0857-7810-8967,,
Kilang Minyak Emas Hitam. PT,"Jl. Paseban Raya No.74, RT.5/RW.3, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,(021) 3908725,,
AFC Fotocopy & Digital Printing,"Jl. Paseban Raya No.66, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,0821-8939-9812,,
toserbaonline88,"Gg. Jubleg No.4B 1, RT.1/RW.5, Paseban, Jakarta, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,0881-0250-51709,,
