name,address,website,contain_keyword,phone_number,reviews_count,reviews_average
Garuda Padang Restaurant,"Jl. Letjen S. Parman No.109 8, RT.8/RW.3, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440",linktr.ee,Yes,(021) 56981314,,
Central Restaurant Tomang,"Jl. Tomang Raya No.29, RT.12/RW.5, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440",,,(021) 5667766,,
Cafe Mandiri,"Cafe mandiri, Jl. Tawakal Raya No.28, RT.6/RW.9, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440",,,0857-1862-7329,233,4.4
