name,address,website,contain_keyword,phone_number,reviews_count,reviews_average
Soedarpo Informatika,"Jl. Letjen S Parman Kav 35 Slipi Palmerah Jakarta Barat, RT.2/RW.3, Kemanggisan, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",soedarpo.id,Yes,(021) 5307833,,
Saputra Global Harvest,"The Capitol Building 1st FLoor, Jalan Letjen S.Parman Kav 73, Slipi, RT.4/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,No,0812-3900-6060,,
Wacker Chemicals SA Pte Ltd,"Jl. Aipda K.S. Tubun No.77 Slipi Palmerah Jakarta Barat DKI Jakarta, RT.14/RW.5, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",wacker.com,Yes,(021) 53671278,1,5.0
PT. Makmur Meta Graha Dinamika (Head Office),"Wisma 77 Tower 2, Jl. Letjen S. Parman No.77, RT.6/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",makmurmeta.co.id,Yes,(021) 29675888,11,4.6
PT Cohesive Indonesia Group,"Citicon Tower, Slipi, Palmerah, West Jakarta City, Jakarta 11410",cohesivegroup.com,Yes,(021) 29866068,23,4.9
PT PKG Lautan Indonesia,"Graha Indramas, Jl. K.S. Tubun No.77 Lantai 5, RT.14/RW.5, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",lautan-luas.com,Yes,(021) 53673269,1,5.0
PT Navita Origo Solutions,"Grand Slipi Tower, Jl. Letjen S. Parman No.22 - 24 Lantai 9, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",navitaorigo.co.id,Yes,(021) 29021898,8,5.0
PT. Kluege International,"Grand Slipi Tower, Jl. Letjen S. Parman No.22 - 24 Lantai 48, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,No,(021) 29022330,10,4.6
UNISON KARYATAMA,"Grand Slipi Tower, Jl. Letjen S. Parman No.1, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,,,,
Tri Banyan Tirta,"Jl. Perjuangan No.1, RT.5/RW.4, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,No,(021) 5300689,,
PT. Global Esa Solusi,"Grand Slipi Tower, Jl. Letjen S. Parman No.Kav. 22 - 24 lt. 5 Unit F, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,No,0817-719-902,,
PT. Linbox Teknologi Indonesia,"CHR Office, Grand Slipi Tower, Jl. Letjen S. Parman No.Kav. 22-24 Lt. 9, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,No,0811-8180-185,,
Play Ground Packaging Djarum,,,,0813-1086-0473,,
Linkup,"Lantai 42, Grand Slipi Tower, Jl. Letjen S. Parman, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,No,,,
PT Georg Fischer Trading Indonesia (Sales & Marketing Office),"Letjen S. Parman St No.77, Slipi, Palmerah, West Jakarta City, Jakarta 11410",,No,(0267) 432044,1,5.0
REKAYASA ENJINIRING,"CHR Office, Grand Slipi Tower Lt. 9 Unit O, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,,0822-3100-0097,1,5.0
KarbonHealth,"Jl. KS Tubun IIC No.4 4, RT.6/RW.1, Slipi, Kec. Palmerah, Jakarta, Daerah Khusus Ibukota Jakarta 11410",,,0877-8519-0322,,
PT. Jofbiltraco Semesta,"Jl. K.S. Tubun No.81 B, RT.9/RW.5, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11210",,No,(021) 5346270,1,5.0
PT SUPLINDO LAUTAN ABADI,"CHR OFFICE, GEDUNG GRAND SLIPI TOWER LT 9 UNIT O, Jl. Letjen S. Parman No.KAV 22-24, RT.1/RW.4, Palmerah, Kec. Palmerah, KOTA ADM. JAKARTA BARAT, Daerah Khusus Ibukota Jakarta 11480",,,,,
Kbgb slipikatamso,"Jl ks tubun 2c blok d no 47n, RT.4/RW.1, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,,0857-7261-1964,1,5.0
periQitiwshop,"Jl. G1 No.1, RT.11/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,,0877-8845-1661,,
PT. Rekayasa Aplikasi Digital (RekapDigital),"Grand Slipi Tower, Jl. Letjen S. Parman No.1 Lantai 42GH, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,,(021) 82752561,1,5.0
Digital Startup Nusantara Pt,"No.8, Jl. KS Tubun IIC, RT.2/RW.1, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,,,,
Asia Warna,"Letjen S. Parman St No.14, RT.10/RW.4, Slipi, Palmerah, West Jakarta City, Jakarta 11410",,,(021) 5329518,,
2C2P Indonesia,"Citicon Tower, Jl. Letjen S. Parman No.kav 72 6th floor, unit A, RT.6/RW.14, Kb. Baru, Jakarta, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 11410",,No,,3,4.3
PriOffice - Grand Slipi Tower(Virtual Office|Service Office|Meeting Room),"Grand Slipi Tower, Letjen S. Parman St No.Kav. 22-24 Lantai 5 Unit F, Palmerah, West Jakarta City, Jakarta 11480",,No,(021) 29866319,31,4.7
PT. Chandra Asri Petrochemical,"Wisma Barito Pacific, Jl. Letjen S. Parman No.Kav. 62 - 63 1, RT.8/RW.4, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,,(021) 5307950,33,4.0
PT.MECOSIN INDONESIA,"Jl. Palmerah Utara No.14 1, RT.1/RW.5, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,,,1,5.0
PT. Merkle Inovasi Teknologi,"Soho Capital 32 Floor - Unit 7, Jl. Letjen S. Parman No.Kav.28, RT.12/RW.1, Kemanggisan, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,(021) 80604261,1,5.0
PT Langit Kreasi Solusindo (LKS),,,No,0811-1237-916,,
Bintang,"Jalan G2 Nomer 2G, RT.3/RW.2, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,,,,
Mimo Pay,"Wisma Barito Pacific - Tower A, 6th Floor, Jl. Letjen S. Parman No.Kav 62-63, RT.8/RW.4, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,,(021) 5344838,1,5.0
PT Software Information System Nusantara,"Grand Slipi Tower 18th Floor, Jl Jend S Parman Kav 22-24, RT.1/RW.4, Palmerah, Kec. Palmerah, Jakarta, Daerah Khusus Ibukota Jakarta 11480",,No,(021) 29252295,1,5.0
Halisa,"Letjen S. Parman St Blok G No.Kav 67, RT.10/RW.4, Slipi, Palmerah, West Jakarta City, Jakarta 11410",,,(021) 5306448,,
