name,address,website,phone_number,reviews_count,reviews_average
,"Taman Kebon Jeruk AA4 No.37, Jl. Taman Kb. Jeruk, RT.3/RW.10, Srengseng, Kembangan, West Jakarta City, Jakarta 11650",,,,
,"Wisma Metropolitan/ WTC 5 7th Floor, Jl. Jenderal Sudirman No.Kav 29, RT.8/RW.3, Kuningan, Karet, Setiabudi, South Jakarta City, Jakarta 12920",,,,
,"Jl. Tomang Tinggi Raya No.9 6, RT.6/RW.7, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440",,,,
,"The Mansion Bougenville Tower Fontana, Jl. Trembesi unit BF 10 k1, Pademangan Tim., Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14410",almahaindo.com,(021) 6540177,,
,"Jl. Bandengan Utara Raya No.11d 1, RT.1/RW.10, Pekojan, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11240",,(021) 6900737,,
,"District 8 SCBD, Prosperity Tower, Floor 19 Unit H, Jl. Jend. Sudirman kav 52-53 Lot. 28, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190",willinton-group.com,(021) 50333200,,
,"Lt1B 102, Jl. Letjen M.T. Haryono No.Kav. 27 Gedung Nucira, Tebet Tim., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820",mitraizin.co.id,0817-466-777,,
,"Lt1B 102, Jl. Letjen M.T. Haryono No.Kav. 27 Gedung Nucira, Tebet Tim., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820",mitraizin.co.id,0817-466-777,,
,"Wisma Nugra Santana, RT.10, RT.10/RW.11, Karet Tengsin, Tanah Abang, Central Jakarta City, Jakarta 10250",,,,
,"Bellezza, Lt. 2, Jl. Letnan Jenderal Soepeno, RT.4/RW.2, Grogol Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12210",vp-digital.com,(021) 29916097,,
,"Komplek Perkantoran Duta Merlin Blok C No. 34, Jl. Gajah Mada No.3-5, RT.2/RW.8, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",,0813-3894-5654,,
,"Jl. Cikini Raya No.35 16, RT.16/RW.1, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",cannetindonesia.com,(021) 31924183,,
,"Jl. Kemandoran V, RT.4/RW.3, Grogol Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12210",klase.co.id,(021) 73889995,,
,"Jl. Peternakan Dalam 3 No.47 2, RT.2/RW.5, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720",,(021) 6623321,,
,"Grand Slipi Tower, Jl. Letjen S. Parman No.22-24 Lantai 32, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,(021) 29022071,,
,"Jl. Utan Kayu Raya No.65, Utan Kayu Utara, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13120",harmet.id,(021) 8506088,,
,"Jl. Garuda No.1 rt12/06 1, RT.1/RW.7, Pesanggrahan, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12320",,0812-1280-2795,,
,"Citra Towers, Jl. Benyamin Suaeb Lt. 26, Kb. Kosong, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10630",rocketindo.asia,(021) 39713688,,
,"Jl. Mandala Utara VI No.7, RT.7, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440",,,,
,"Jl. Tomang Raya No.39 12, RT.12/RW.5, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440",,,,
,"Jl. Tawakal Raya No.2 B 5, RT.5/RW.9, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440",,,,
,"Jl. Tomang Tinggi 16 No.32 12, RT.13/RW.7, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440",,(021) 5661809,,
,"8, RT.8/RW.3, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440",,,,
