name,address,website,contain_keyword,phone_number,reviews_count,reviews_average
Inalog,"Wisma Bisnis Indonesia 2, Jl. Ir. H. Juanda 3 No.32, RT.2/RW.2, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",,No,(021) 34830873,,
A Big Group Of Companies,"Jl. Cideng Barat No.78 4, RT.4/RW.1, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150",,,,,
PT. Graha Lestari Agung Makmur,"Komplek Duta Merlin, Jl. Gajah Mada no .3 -5, Blok D/2, RT.2/RW.8, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",,No,(021) 6307055,,
The Harvest Express - Stasiun Gambir,"Jl. Medan Merdeka Tim. No.1, Gambir Kecamatan Gambir, Kota Jakarta Pusat, RT.5/RW.2, Gambir, Kecamatan Gambir, Jakarta, Daerah Khusus Ibukota Jakarta 10110",,No,,13,4.2
PT. Fortuna Pacific,"Jl. Kaji bc No.1bb, RT.2/RW.7, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",,,(021) 63868438,10,4.5
Adi Bumi Jaya. PT,"Jl. Gajah Mada 3-5 Petojo Utara Gambir Jakarta Pusat DKI Jakarta, RT.2/RW.8, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",,,(021) 6341858,,
PT. GANERIN,"Pusat Niaga Roxy Mas blok B2 no. 24, RT.3/RW.8, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150",,No,0838-1288-8197,3,2.3
Bostinco,"Jl. Tanah Abang II No.7, RT.11/RW.8, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",,,(021) 3444020,1,5.0
Batubara Duaribu Abadi. PT,"Jl. Alaydrus No.81B 6, RT.6/RW.2, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",,,(021) 6345222,,
Maxindo Content Solution,"IKA Building, Komp. Pertokoan Duta Merlin, Jl. Gajah Mada No.5 Blok B31-B32, RT.1/RW.3, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",maxserver.co.id,Yes,(021) 80624624,33,4.4
PT. Indorasa Prakarsa,"Jl. Majapahit No.34, RT.14/RW.8, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",,No,(021) 3809484,,
Binayasa Putra Batara PT,"Jl. Gajah Mada No.1 2, RT.2/RW.8, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",,,(021) 8301675,5,4.6
PT. Bilplast Grapindo,"Ruko Harmoni Plaza, Jl. Suryopranoto No.2 Blok B40, North Petojo, Gambir, Central Jakarta City, Jakarta 10130",,,0818-808-363,3,5.0
PT Reycom Document Solusi,"Gedung Pakarti Center Lt.6 Jl. Tanah Abang 3 No 23, 25, 27, RT.3/RW.3, Petojo Sel., Kecamatan Gambir, Jakarta, Daerah Khusus Ibukota Jakarta 10160",rds.co.id,Yes,(021) 38901948,104,4.4
PT. Prakarsa Utama Manggala,,,No,0878-1564-8238,,
Conarco Indonesia Engineering,"Jl. Petojo Utara VII No.52e 17, RT.17/RW.3, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",,,(021) 63856224,,
PT Multi Kreasi Solusindo,"Jakarta Pusat, Komp. Duta Merlin, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",,No,(021) 5305745,,
PT. Krakatau Niaga Indonesia,"Komplek Golden Centrum, Jl. Majapahit No.14 No.26 AB, RT.14/RW.8, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",,,(021) 3501118,4,5.0
Trafoindo Prima Perkasa. PT - Head Office,"JL. Hayam Wuruk No. 4 FX, Kebon Kelapa, Gambir, RT.6/RW.2, Kebon Kelapa, Gambir, Central Jakarta City, Jakarta 10120",,No,(021) 3451384,62,4.3
PT. Tritanu (HQ),"Jl. Batu Tulis Raya No.2, RT.3/RW.2, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",,No,0811-8736-000,25,4.6
"Conarco Indonesia Engineering, Pt","Jl. Alaydrus No.81, RT.10/RW.2, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",,,,1,5.0
PT. Caputra Mitra Sejati,"Jl. KH. Hasyim Ashari No.2 1, RT.1/RW.2, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",,No,(021) 6345106,29,4.5
Berkat Company,"ITC Roxy Mas, Lantai Dasar, Blok BP, No. 14, Jl. KH. Hasyim Ashari, RW.8, Cideng, Gambir, Central Jakarta City, Jakarta 10150",,,0818-0616-8987,,
Khrista Dasetra. PT,"Komplek Duta Merlin Blok E-7, Jl. Gajah Mada No. 3-5, Petojo Utara, Gambir, RT.2/RW.8, Petojo Utara, Jakarta Pusat, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",,No,(021) 6337719,,
Fitnesia,"Komplek Majapahit Permai Blok C No. 109, RT.14/RW.8, Petojo Sel., Kecamatan Gambir, DKI Jakarta, Daerah Khusus Ibukota Jakarta 10160",,,0878-7339-3981,17,4.9
Pt Monde Mahkota Biskuit,"Jl. Suryopranoto No.11 2, RT.2/RW.8, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",,,(021) 22441063,1,5.0
Global News,"Jl. Veteran II No.7c 5, RT.5/RW.2, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",,No,(021) 3846769,,
PT.OAKTREE INDUSTRIAL TECH INDONESIA,"Jl. Tanah Abang I No.8 No.11 F, RT.8/RW.8, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",,,0812-6798-6574,,
Noblelift Indonesia,"Komp. Pertokoan Duta Merlin, Komp. Duta Merlin, Jl. Gajah Mada Blok C. 4 - 5, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",,No,0818-886-329,2,5.0
"Gunung Raya Utama Timber Industries, PT.","Jl. Alaydrus, No. 48 C-d, Jakarta, RT.1/RW.2, North Petojo, Gambir, Central Jakarta City, Jakarta 10130",,,(021) 6348972,,
Paperpro Indonesia. PT,"Jl. Tanah Abang I No.15, RT.14/RW.8, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",,,(021) 3503501,,
PT. Meiji Indonesian Pharmaceutical Industries,"Jl. Prof. DR. Soepomo No.40, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12870",meiji.co.id,Yes,(021) 21383388,8,4.9
Eterna Karya Sejahtera. PT,"Jl. Gajah Mada.3-5 Petojo Utara Kompleks Duta Merlin Blok C No.31-32, RT.2/RW.8, North Petojo, Gambir, Jakarta, 10130",,,(021) 6341749,6,4.7
PT. New Module International,"Jalan Abdul Muis No. 36 Q, RT.2/RW.8, Petojo Sel., Kecamatan Gambir, Jakarta, Daerah Khusus Ibukota Jakarta 10160",,No,(021) 3857751,37,4.6
